naics_code,description,naics_label,Mistral7Bv01_tokenized_name,Mistral7Bv01_tokenized_description
3256,Soap and Cleaning Compound Manufacturing | Toilet Preparation ManufacturingSoap and Other Detergent Manufacturing | Polish and Other Sanitation Good Manufacturing | Surface Active Agent Manufacturing | Toilet Preparation Manufacturing,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",1|1537|377|28725|14510|288|3880|687|28725|304|1791|546|28707|4258|1389|352|19663|1378,1|1537|377|304|14510|288|3880|687|19663|1378|259|1791|546|28707|4258|1389|352|19663|1378|5142|377|304|5299|384|1623|6188|19663|1378|259|20329|304|5299|3652|5174|5801|19663|1378|259|6021|1797|15838|23393|19663|1378|259|1791|546|28707|4258|1389|352|19663|1378
3259,"Printing Ink Manufacturing | Explosives Manufacturing | All Other Chemical Product and Preparation ManufacturingPrinting Ink Manufacturing | Explosives Manufacturing | Custom Compounding of Purchased Resins | Photographic Film, Paper, Plate, Chemical, and Copy Toner Manufacturing | All Other Miscellaneous Chemical Product and Preparation Manufacturing",Other Chemical Product and Preparation Manufacturing,1|5299|18199|745|9068|304|4258|1389|352|19663|1378,1|13281|288|560|28729|19663|1378|259|13702|385|1771|19663|1378|259|1682|5299|18199|745|9068|304|4258|1389|352|19663|1378|8781|288|560|28729|19663|1378|259|13702|385|1771|19663|1378|259|7973|3880|687|288|302|367|1826|1293|1992|1126|259|12719|12293|7425|28725|20038|28725|1641|380|28725|18199|745|28725|304|18158|17104|263|19663|1378|259|1682|5299|21297|4860|18834|18199|745|9068|304|4258|1389|352|19663|1378
3261,"Plastics Packaging Materials and Unlaminated Film and Sheet Manufacturing | Plastics Pipe, Pipe Fitting, and Unlaminated Profile Shape Manufacturing | Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing | Polystyrene Foam Product Manufacturing | Urethane and Other Foam Product (except Polystyrene) Manufacturing | Plastics Bottle Manufacturing | Other Plastics Product ManufacturingPlastics Bag and Pouch Manufacturing | Plastics Packaging Film and Sheet (including Laminated) Manufacturing | Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing | Unlaminated Plastics Profile Shape Manufacturing | Plastics Pipe and Pipe Fitting Manufacturing | Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing | Polystyrene Foam Product Manufacturing | Urethane and Other Foam Product (except Polystyrene) Manufacturing | Plastics Bottle Manufacturing | Plastics Plumbing Fixture Manufacturing | All Other Plastics Product Manufacturing",Plastics Product Manufacturing,1|1641|529|1063|9068|19663|1378,1|1641|529|1063|11676|4054|15210|28713|304|935|5989|5499|7425|304|985|299|19663|1378|259|1641|529|1063|367|3985|28725|367|3985|401|3257|28725|304|935|5989|5499|23538|1295|1748|19663|1378|259|17018|5499|1641|529|1063|1641|380|28725|985|299|325|19603|11676|4054|557|304|1295|1748|19663|1378|259|2538|827|28724|267|485|27020|314|9068|19663|1378|259|500|267|362|1564|304|5299|27020|314|9068|325|19603|2538|827|28724|267|485|28731|19663|1378|259|1641|529|1063|365|1562|291|19663|1378|259|5299|1641|529|1063|9068|19663|1378|2249|529|1063|17699|304|367|3204|19663|1378|259|1641|529|1063|11676|4054|7425|304|985|299|325|14682|17018|5499|28731|19663|1378|259|935|5989|5499|1641|529|1063|7425|304|985|299|325|19603|11676|4054|28731|19663|1378|259|935|5989|5499|1641|529|1063|23538|1295|1748|19663|1378|259|1641|529|1063|367|3985|304|367|3985|401|3257|19663|1378|259|17018|5499|1641|529|1063|1641|380|28725|985|299|325|19603|11676|4054|557|304|1295|1748|19663|1378|259|2538|827|28724|267|485|27020|314|9068|19663|1378|259|500|267|362|1564|304|5299|27020|314|9068|325|19603|2538|827|28724|267|485|28731|19663|1378|259|1641|529|1063|365|1562|291|19663|1378|259|1641|529|1063|1641|27010|24061|8440|19663|1378|259|1682|5299|1641|529|1063|9068|19663|1378
3262,Tire Manufacturing | Rubber and Plastics Hoses and Belting Manufacturing | Other Rubber Product ManufacturingTire Manufacturing (except Retreading) | Tire Retreading | Rubber and Plastics Hoses and Belting Manufacturing | Rubber Product Manufacturing for Mechanical Use | All Other Rubber Product Manufacturing,Rubber Product Manufacturing,1|12178|537|9068|19663|1378,1|320|536|19663|1378|259|12178|537|304|1641|529|1063|382|14779|304|4583|1157|19663|1378|259|5299|12178|537|9068|19663|1378|28738|536|19663|1378|325|19603|8337|923|288|28731|259|320|536|8337|923|288|259|12178|537|304|1641|529|1063|382|14779|304|4583|1157|19663|1378|259|12178|537|9068|19663|1378|354|27164|745|5938|259|1682|5299|12178|537|9068|19663|1378
3271,"Pottery, Ceramics, and Plumbing Fixture Manufacturing | Clay Building Material and Refractories ManufacturingPottery, Ceramics, and Plumbing Fixture Manufacturing | Clay Building Material and Refractories Manufacturing",Clay Product and Refractory Manufacturing,1|19230|9068|304|6360|1836|695|19663|1378,1|10650|15527|28725|16411|314|1063|28725|304|1641|27010|24061|8440|19663|1378|259|19230|14578|15210|304|6360|520|1810|497|19663|1378|28753|322|15527|28725|16411|314|1063|28725|304|1641|27010|24061|8440|19663|1378|259|19230|14578|15210|304|6360|520|1810|497|19663|1378
3272,Glass and Glass Product ManufacturingFlat Glass Manufacturing | Other Pressed and Blown Glass and Glassware Manufacturing | Glass Container Manufacturing | Glass Product Manufacturing Made of Purchased Glass,Glass and Glass Product Manufacturing,1|23026|304|23026|9068|19663|1378,1|23026|304|23026|9068|19663|1378|3188|270|23026|19663|1378|259|5299|6127|286|304|2025|656|23026|304|23026|1706|19663|1378|259|23026|25204|19663|1378|259|23026|9068|19663|1378|16970|302|367|1826|1293|23026
3273,"Cement Manufacturing | Ready-Mix Concrete Manufacturing | Concrete Pipe, Brick, and Block Manufacturing | Other Concrete Product ManufacturingCement Manufacturing | Ready-Mix Concrete Manufacturing | Concrete Block and Brick Manufacturing | Concrete Pipe Manufacturing | Other Concrete Product Manufacturing",Cement and Concrete Product Manufacturing,1|334|1116|304|1325|7916|9068|19663|1378,1|334|1116|19663|1378|259|4939|28724|28733|26388|1325|7916|19663|1378|259|1325|7916|367|3985|28725|1896|681|28725|304|9063|19663|1378|259|5299|1325|7916|9068|19663|1378|28743|1116|19663|1378|259|4939|28724|28733|26388|1325|7916|19663|1378|259|1325|7916|9063|304|1896|681|19663|1378|259|1325|7916|367|3985|19663|1378|259|5299|1325|7916|9068|19663|1378
3274,Lime Manufacturing | Gypsum Product ManufacturingLime Manufacturing | Gypsum Product Manufacturing,Lime and Gypsum Product Manufacturing,1|393|545|304|18075|782|383|9068|19663|1378,1|393|545|19663|1378|259|18075|782|383|9068|19663|1378|28758|545|19663|1378|259|18075|782|383|9068|19663|1378
3279,Abrasive Product Manufacturing | All Other Nonmetallic Mineral Product ManufacturingAbrasive Product Manufacturing | Cut Stone and Stone Product Manufacturing | Ground or Treated Mineral and Earth Manufacturing | Mineral Wool Manufacturing | All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,Other Nonmetallic Mineral Product Manufacturing,1|5299|9187|2243|455|294|3197|9785|9068|19663|1378,1|330|21420|495|9068|19663|1378|259|1682|5299|9187|2243|455|294|3197|9785|9068|19663|1378|28741|21420|495|9068|19663|1378|259|18514|11775|304|11775|9068|19663|1378|259|22455|442|9485|601|3197|9785|304|8599|19663|1378|259|3197|9785|394|796|19663|1378|259|1682|5299|21297|4860|18834|9187|2243|455|294|3197|9785|9068|19663|1378
4231,Automobile and Other Motor Vehicle Merchant Wholesalers | Motor Vehicle Supplies and New Parts Merchant Wholesalers | Tire and Tube Merchant Wholesalers | Motor Vehicle Parts (Used) Merchant WholesalersAutomobile and Other Motor Vehicle Merchant Wholesalers | Motor Vehicle Supplies and New Parts Merchant Wholesalers | Tire and Tube Merchant Wholesalers | Motor Vehicle Parts (Used) Merchant Wholesalers,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,1|17933|550|21282|304|17933|550|21282|2914|28713|304|8931|7631|5625|11746|943|4721|282|404,1|15939|4414|304|5299|17933|550|21282|5625|11746|943|4721|282|404|259|17933|550|21282|8931|7631|304|1450|2914|28713|5625|11746|943|4721|282|404|259|320|536|304|320|4276|5625|11746|943|4721|282|404|259|17933|550|21282|2914|28713|325|21601|28731|5625|11746|943|4721|282|404|23556|4414|304|5299|17933|550|21282|5625|11746|943|4721|282|404|259|17933|550|21282|8931|7631|304|1450|2914|28713|5625|11746|943|4721|282|404|259|320|536|304|320|4276|5625|11746|943|4721|282|404|259|17933|550|21282|2914|28713|325|21601|28731|5625|11746|943|4721|282|404
